RespId,weight,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q5,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q9_1,Q9_2,Q9_3,Q9_4,Q10_1,Q10_2,Q10_3,Q10_4,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q14,Q15,Q16,Q17_1,Q17_2,Q17_3,Q17_4,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q18_9,Q18_10,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q28_7,Q28_8,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q29_7,Q29_8,Q29_9,Q29_10,Q30,Q31,Q32,Q33,ppage,educ,race,gender,income_cat,voter_category,estimated_height,BMI
470001,0.7516,1,1,1,2,4,1,4,2,2,4,2,1,1,4,4,3,2,2,1,2,2,2,2,1,2,1,3,4,2,1,1,1,1,2,4,2,2,4,4,2,2,2,2,2,2,2,2,2,2,5,1,1,1,1,1,3,2,2,2,2,2,2,2,2,2,2,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,,2,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,,,,,,,,,,,2,,1.0,,73,College,White,Female,$75-125k,always,159.00032,0.2972971696930331
470002,1.0267,1,1,2,2,3,1,1,2,1,1,3,3,3,4,3,3,2,2,2,2,3,3,1,1,2,2,2,3,2,2,2,2,3,2,2,1,1,3,4,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,,1,3,3,1,1,1,1,1,1,1,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,,,,,,,,,,,3,,,1.0,90,College,White,Female,$125k or more,always,158.20534,0.41020531689647943
470003,1.0844,1,1,1,2,2,1,1,2,1,4,3,2,2,3,3,2,2,2,2,3,3,2,3,1,1,1,3,2,1,1,2,2,2,2,1,1,2,4,4,2,2,1,2,2,2,1,2,1,2,5,2,1,1,3,1,1,2,2,2,2,2,2,1,2,2,2,-1,1,-1,1,-1,-1,-1,1,1,-1,1,1,,2,1,2,1,1,1,1,1,1,1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,,,,,,,,,,,2,,2.0,,53,College,White,Male,$125k or more,sporadic,170.06688,0.3749298518365567
470007,0.6817,1,1,1,1,3,1,1,1,1,1,2,1,1,4,4,2,1,1,2,2,2,2,2,1,3,1,3,2,2,2,2,2,2,2,2,1,2,4,4,2,2,2,2,1,2,2,2,1,2,5,1,4,1,1,1,1,2,2,2,2,2,2,2,2,2,2,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,,2,1,2,1,1,1,1,1,1,1,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,,,,,,,,,,,2,,1.0,,58,Some college,Black,Female,$40-75k,sporadic,157.73633999999998,0.2739868850388988
480008,0.991,1,1,1,-1,1,1,1,1,1,1,1,4,-1,1,1,2,4,1,1,1,1,1,1,1,2,2,1,3,2,3,3,3,4,2,2,1,4,3,4,2,2,2,2,2,2,1,2,2,2,1,5,1,2,2,4,4,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,,1,3,1,1,1,1,1,1,1,1,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,,,,,,,,,,,1,-1.0,,,81,High school or less,White,Male,$40-75k,always,168.6482,0.34842574227913803
480009,1.0591,1,3,2,3,4,1,3,3,1,1,4,1,2,-1,2,2,2,4,3,3,3,4,2,2,4,1,3,3,3,2,3,3,2,2,2,-1,-1,-1,4,2,2,2,2,2,2,2,1,2,2,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,7.0,-1,4,3,4,2,2,2,2,2,2,,,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,5,,,-1.0,61,High school or less,White,Female,$40-75k,rarely/never,159.66181999999998,0.41546535737761625
480010,1.1512,1,1,1,2,3,1,1,1,1,1,3,2,3,3,2,2,2,2,1,1,2,1,1,1,1,1,2,-1,2,1,1,1,2,1,2,1,2,2,3,2,1,2,2,2,2,2,2,2,2,1,3,3,3,2,4,2,2,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,,1,1,1,1,1,1,1,1,1,1,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,,,,,,,,,,,1,1.0,,,80,High school or less,White,Female,$125k or more,always,158.73024,0.45691081212320855
470008,1.0174,1,1,1,2,2,1,3,1,1,4,2,2,3,3,1,1,2,1,1,2,2,2,3,1,1,1,4,4,1,1,2,2,4,1,1,1,2,3,4,2,2,2,2,2,2,2,2,2,2,5,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,-1,1,-1,1,1,-1,1,-1,1,-1,1,1,,2,1,2,1,1,1,1,1,1,1,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,,,,,,,,,,,2,,1.0,,68,Some college,Other/Mixed,Female,$75-125k,always,159.30348,0.4009047547875185
470010,0.8184,1,1,1,1,3,1,1,1,1,3,2,1,4,2,1,2,1,2,2,2,4,3,3,1,3,1,3,4,3,2,2,2,4,2,2,1,4,4,4,2,1,1,2,2,2,2,2,2,2,2,4,1,2,1,2,4,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,-1,1,1,,1,3,1,1,1,1,1,1,1,1,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,,,,,,,,,,,1,1.0,,,70,College,White,Male,$125k or more,always,169.16368,0.2859903453619825
470011,1.1653,1,1,1,2,1,1,1,1,2,1,2,3,3,3,2,3,2,2,3,3,3,2,3,1,3,1,2,3,2,2,2,2,2,1,2,2,2,3,3,2,1,2,2,2,2,1,2,2,2,1,5,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,-1,-1,-1,1,1,-1,-1,-1,-1,1,2,,1,1,2,1,1,1,1,1,1,1,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,,,,,,,,,,,3,,,1.0,83,Some college,White,Male,$125k or more,always,168.58306,0.4100245694978455
